TimeInSeconds,FrameTimeMs,FPS
4.25531,8.34,119.90
4.26365,9.04,110.56
4.27269,8.84,113.09
4.28154,7.95,125.82
4.28948,9.95,100.51
4.29943,9.67,103.42
4.30910,8.87,112.78
4.31797,10.03,99.70
4.32800,10.79,92.65
4.33879,9.16,109.15
4.34796,9.75,102.61
4.35770,9.05,110.47
4.36675,8.93,111.96
4.37568,9.75,102.52
4.38544,15.27,65.49
4.40071,7.63,131.04
4.40834,9.52,105.01
4.41786,8.56,116.88
4.42642,9.96,100.39
4.43638,8.41,118.84
4.44480,14.34,69.73
4.45914,8.55,116.95
4.46769,8.77,114.03
4.47646,8.83,113.28
4.48529,8.81,113.46
4.49410,9.18,108.88
4.50328,9.54,104.86
4.51282,8.54,117.03
4.52136,9.42,106.11
4.53079,7.81,128.11
4.53860,8.72,114.72
4.54731,8.63,115.93
4.55594,8.19,122.10
4.56413,13.51,74.00
4.57764,80.04,12.49
4.65768,5.60,178.61
4.66328,9.47,105.63
4.67275,9.21,108.56
4.68196,9.53,104.92
4.69149,9.37,106.73
4.70086,8.40,119.03
4.70926,8.75,114.22
4.71802,8.76,114.10
4.72678,8.79,113.73
4.73557,8.69,115.01
4.74427,9.28,107.78
4.75355,9.15,109.31
4.76270,10.03,99.71
4.77272,8.45,118.33
4.78118,8.95,111.77
4.79012,9.70,103.04
4.79983,10.23,97.77
4.81006,8.18,122.32
4.81823,9.74,102.71
4.82797,9.48,105.46
4.83745,11.01,90.84
4.84846,9.54,104.86
4.85800,9.61,104.10
4.86760,9.21,108.60
4.87681,9.32,107.34
4.88613,9.77,102.37
4.89589,9.33,107.20
4.90522,9.24,108.28
4.91446,9.48,105.49
4.92394,9.41,106.23
4.93335,8.36,119.67
4.94171,8.83,113.31
4.95053,9.18,108.88
4.95972,9.19,108.79
4.96891,11.24,89.00
4.98015,10.30,97.12
4.99044,9.60,104.15
5.00004,9.31,107.35
5.00936,9.09,109.97
5.01845,9.01,110.93
5.02747,9.44,105.94
5.03691,15.60,64.08
5.05251,11.06,90.38
5.06357,9.71,103.02
5.07328,9.79,102.20
5.08307,9.62,103.92
5.09269,9.83,101.70
5.10252,8.52,117.40
5.11104,10.72,93.27
5.12176,9.27,107.87
5.13103,11.62,86.07
5.14265,15.42,64.86
5.15807,6.31,158.51
5.16438,8.58,116.49
5.17296,9.05,110.53
5.18201,9.62,103.91
5.19163,9.70,103.14
5.20133,9.10,109.94
5.21043,10.47,95.54
5.22089,10.79,92.71
5.23168,9.23,108.37
5.24091,9.85,101.50
5.25076,9.80,102.01
5.26056,9.45,105.80
5.27001,9.56,104.64
5.27957,9.38,106.67
5.28894,9.11,109.73
5.29806,8.42,118.78
5.30648,9.66,103.49
5.31614,10.28,97.29
5.32642,9.82,101.81
5.33624,8.50,117.70
5.34474,9.52,105.03
5.35426,9.85,101.55
5.36410,8.91,112.25
5.37301,9.42,106.13
5.38243,9.57,104.50
5.39200,8.96,111.57
5.40097,8.45,118.40
5.40941,9.33,107.18
5.41874,8.23,121.57
5.42697,10.38,96.34
5.43735,10.60,94.30
5.44795,9.47,105.57
5.45743,10.17,98.31
5.46760,10.32,96.92
5.47792,10.33,96.82
5.48824,9.16,109.17
5.49740,8.90,112.34
5.50631,9.59,104.29
5.51589,10.23,97.73
5.52613,9.49,105.34
5.53562,9.46,105.69
5.54508,10.65,93.85
5.55574,9.56,104.56
5.56530,10.35,96.62
5.57565,9.63,103.87
5.58528,10.13,98.72
5.59541,11.36,88.06
5.60676,9.10,109.93
5.61586,8.88,112.61
5.62474,9.58,104.43
5.63432,9.94,100.60
5.64426,9.52,105.06
5.65377,9.65,103.59
5.66343,11.97,83.51
5.67540,9.69,103.24
5.68509,9.60,104.13
